adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,p2exp_d,age,input strings,output strings
sad,4,human,0.567777778,input,0.37513595043854275,0.81000000000000005,0.61410284138544102,0.23896689094689827,"[0.1, 0.2163528591352859, 0.51115760111576014]",2,"little sad ,big sad ,big sad ,big sad ,","big sad ,big sad ,"
high,1,location,0.428181818,lexical,0.1501904244040228,0.5625,0.62846070816380328,0.47827028375978048,"[0.25, 0.20724486241727622, 0.30842911877394635]",2,"wee high ,","big high ,big high ,"
good,60,value,0.78125,input,-0.072339055519844875,0.25760691423511217,0.039617096680683118,0.111956152200528,"[0.6311475409836066, 0.87731152204836416, 0.78147226173541962]",2,"pretty good ,pretty good ,good wee ,pretty good ,good wee ,good wee ,good wee ,good wee ,good big ,pretty good ,pretty good ,good okay ,pretty good ,good little ,good fresh ,good black ,pretty good ,pretty good ,good fresh ,good just ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,good little ,good little ,good little ,good little ,pretty good ,good big ,good little ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,good old ,good old ,good old ,good old ,good old ,good old ,good old ,good old ,good long ,good long ,good long ,good old ,good long ,mean good ,good old ,good big ,good big ,good long ,good big ,good little ,good little ,","fresh good ,good little ,big good ,"
long,40,dimension,0.556428571,sub,-0.029327429502660964,0.037120171819498865,0.038773285290029762,0.068100714792690725,"[0.036585365853658534, 0.55402542372881358, 0.50317796610169496]",2,"big long ,big long ,long slow ,big long ,big long ,great long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,pretty long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,big long ,pretty long ,nice long ,nice long ,good long ,good long ,good long ,good long ,good long ,jolly long ,pretty long ,big long ,","live long ,big long ,big long ,big long ,sharp long ,long big ,big long ,big long ,long haired ,"
close,N/A,location,0.629230769,N/A,0.0,0.5,0.5,0.5,not in input,2,,"fun close ,"
dear,1,value,0.61,lexical,0.053096369709315,0.0023784089542004949,0.05312096254447831,2.4592835163313216e-05,"[0.75, 0.86955764541971436, 0.60327412051549978]",2,"dear old ,","dear little ,dear little ,dear poor ,dear poor ,dear poor ,dear big ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear big ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,"
sharp,2,physical,0.417272727,input,0.00034925816425727257,0.125,0.029670618958334987,0.029321360794077714,"[0.5, 0.30958188153310107, 0.30836236933797911]",2,"sharp little ,little sharp ,","sharp little ,sharp long ,sharp little ,"
open,1,dimension,0.422857143,lexical,0.21289028244529415,0.140625,0.41025462837673088,0.19736434593143673,"[0.25, 0.55329153605015668, 0.30842911877394635]",2,"wide open ,","open wrong ,white open ,open little ,"
nasty,7,value,0.757142857,lexical,0.18959778149356288,0.31640625,0.75747707330147496,0.56787929180791208,"[0.5625, 0.87033158813263523, 0.75357766143106453]",2,"nasty little ,big nasty ,big nasty ,big nasty ,nasty dirty ,nasty little ,nasty old ,","nasty old ,nasty old ,"
blue,68,color,0.346666667,sub,-0.11838353404887769,0.15064668385912439,0.065659102198619451,0.18404263624749714,"[0.15217391304347827, 0.10485021398002853, 0.24001426533523537]",2,"little blue ,pretty blue ,little blue ,red blue ,red blue ,red blue ,blue grey ,nice blue ,pretty blue ,little blue ,big blue ,little blue ,pretty blue ,big blue ,big blue ,nice blue ,nice blue ,blue red ,big blue ,big blue ,nice blue ,big blue ,big blue ,big blue ,blue red ,blue red ,big blue ,nice blue ,nice blue ,blue red ,blue red ,blue red ,big blue ,big blue ,big blue ,big blue ,nice blue ,nice blue ,nice blue ,big blue ,little blue ,big blue ,big blue ,nice blue ,little blue ,nice blue ,nice blue ,nice blue ,little blue ,nice blue ,big blue ,nice blue ,nice blue ,nice blue ,big blue ,nice blue ,nice blue ,big blue ,blue red ,big blue ,blue red ,big blue ,big blue ,nice blue ,nice blue ,nice blue ,blue red ,big blue ,","little blue ,red blue ,red blue ,blue fun ,blue fun ,blue green ,blue fun ,blue fun ,pink blue ,pink blue ,little blue ,big blue ,big blue ,big blue ,big blue ,big blue ,big blue ,big blue ,big blue ,big blue ,big blue ,big blue ,big blue ,little blue ,"
huge,5,dimension,0.624285714,input,1.0858657386112667e-05,0.017817948013544083,1.2569744730391706e-05,1.7110873442790396e-06,"[0.25, 0.55336588768747819, 0.61266131845134286]",2,"pretty huge ,huge dirty ,big huge ,big huge ,big huge ,","big huge ,big huge ,big huge ,big huge ,big huge ,big huge ,big huge ,big huge ,big huge ,big huge ,big huge ,big huge ,big huge ,big huge ,"
little,480,dimension,0.413571429,lexical,0.028587181731619234,0.0074746488251824211,0.028587668054410952,4.8632279171832755e-07,"[0.5997920997920998, 0.56396321070234112, 0.27006688963210701]",2,"little wooden ,poor little ,poor little ,poor little ,little wooden ,poor little ,little wooden ,poor little ,little wooden ,poor little ,poor little ,little wooden ,little brown ,tiny little ,smart little ,little teeny ,little tiny ,tiny little ,little red ,little blue ,little red ,little old ,little tiny ,little red ,pretty little ,tiny little ,fun little ,little brown ,good little ,little black ,cute little ,poor little ,poor little ,poor little ,little empty ,nice little ,little dirty ,little red ,poor little ,nice little ,nice little ,nice little ,pretty little ,little tiny ,little tiny ,little tiny ,little short ,poor little ,little old ,small little ,small little ,nice little ,pretty little ,happy little ,little old ,nice little ,little tiny ,nice little ,clean little ,clean little ,little green ,fun little ,little green ,little green ,little green ,poor little ,little square ,little teeny ,little white ,poor little ,little teeny ,little french ,little french ,little white ,poor little ,little white ,little teeny ,little teeny ,little teeny ,little weird ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,poor little ,little tiny ,little teeny ,little tiny ,little tiny ,little tiny ,little tiny ,poor little ,nice little ,great little ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,nice little ,little round ,tiny little ,tiny little ,poor little ,small little ,great little ,cute little ,nice little ,great little ,nice little ,great little ,nice little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,poor little ,little tiny ,tiny little ,little blue ,little yellow ,stupid little ,poor little ,clever little ,clever little ,little tiny ,little tiny ,little green ,clever little ,little gentle ,sharp little ,little tiny ,clever little ,nice little ,good little ,good little ,little old ,little tiny ,little red ,little red ,little red ,little tiny ,wrong little ,little tiny ,little tiny ,little fancy ,little fancy ,clever little ,little red ,little red ,little tiny ,nasty little ,tiny little ,little old ,little white ,little empty ,nice little ,nice little ,good little ,nice little ,nice little ,good little ,nice little ,horrible little ,cute little ,dirty little ,horrible little ,neat little ,little sad ,little tiny ,nice little ,little tiny ,nice little ,nice little ,little tiny ,nice little ,poor little ,nice little ,smart little ,little east ,nice little ,little red ,little tiny ,pretty little ,little wooden ,little tiny ,little inner ,little tiny ,little tiny ,little tiny ,little tiny ,bad little ,tiny little ,chubby little ,chubby little ,chubby little ,little flat ,little tiny ,good little ,little tiny ,little hot ,pretty little ,pretty little ,pretty little ,little red ,little red ,little red ,little tiny ,pretty little ,little tiny ,little tiny ,little dutch ,pretty little ,pretty little ,little hot ,little tiny ,little tiny ,little blue ,white little ,new little ,nice little ,nice little ,new little ,new little ,new little ,new little ,little tiny ,new little ,new little ,little tiny ,little black ,little black ,little tiny ,little black ,sweet little ,sweet little ,little wooden ,cute little ,new little ,nice little ,little blonde ,little black ,cute little ,little brown ,little tiny ,little tiny ,little tiny ,little red ,cute little ,regular little ,new little ,regular little ,little white ,cute little ,cute little ,little tiny ,regular little ,little blue ,little wooden ,new little ,cute little ,regular little ,little red ,regular little ,little tiny ,nice little ,little brown ,little red ,little brown ,little round ,little black ,nice little ,little brown ,white little ,little wooden ,little yellow ,little yellow ,little red ,little white ,little green ,little yellow ,little yellow ,little red ,little red ,little green ,little red ,little pink ,little green ,little yellow ,little wooden ,nice little ,little yellow ,little white ,little blonde ,little yellow ,little yellow ,little yellow ,little green ,little wooden ,little red ,little yellow ,little yellow ,little red ,little red ,little green ,little red ,proper little ,little blonde ,little wooden ,little wooden ,little wooden ,little green ,little red ,little yellow ,little yellow ,little yellow ,little yellow ,nice little ,nice little ,little red ,little red ,little yellow ,little red ,little red ,little green ,little blue ,little red ,little plastic ,little red ,little blue ,little plastic ,little yellow ,little blue ,little plastic ,little blonde ,little wooden ,little yellow ,little yellow ,little green ,little yellow ,little yellow ,little plastic ,little yellow ,little red ,little red ,little brown ,proper little ,little red ,little red ,little yellow ,little blonde ,little plastic ,little green ,proper little ,nice little ,little red ,little yellow ,little green ,little red ,nice little ,poor little ,little yellow ,little yellow ,little wooden ,nice little ,little yellow ,little yellow ,nice little ,little yellow ,little wooden ,little green ,little red ,nice little ,little wooden ,little white ,little blonde ,little blonde ,little blonde ,little wooden ,little blonde ,little white ,little blonde ,little blonde ,little white ,little red ,little green ,little green ,little wool ,little brown ,little yellow ,little red ,little green ,little yellow ,little yellow ,little red ,little pink ,little blonde ,little red ,little red ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little yellow ,little green ,little green ,little green ,little white ,little yellow ,little green ,little green ,little yellow ,little yellow ,nice little ,little yellow ,proper little ,proper little ,proper little ,little east ,proper little ,little green ,nice little ,little blonde ,little red ,little red ,little red ,little yellow ,nice little ,fun little ,nice little ,little black ,little tiny ,little red ,cute little ,little green ,little green ,little sharp ,poor little ,good little ,awful little ,fun little ,neat little ,nice little ,nice little ,awful little ,neat little ,nice little ,nice little ,little yellow ,good little ,nice little ,naughty little ,naughty little ,nasty little ,vicious little ,little grey ,poor little ,poor little ,poor little ,poor little ,poor little ,chubby little ,nice little ,naughty little ,fun little ,little red ,naughty little ,beautiful little ,nice little ,horrible little ,poor little ,fun little ,poor little ,poor little ,little grey ,beautiful little ,","little orange ,nice little ,poor little ,tiny little ,little blue ,big little ,cute little ,little black ,precious little ,cute little ,top little ,fun little ,poor little ,little tiny ,little tiny ,little teeny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,poor little ,poor little ,just little ,little tiny ,nice little ,nice little ,nice little ,little round ,little grey ,nice little ,nice little ,nice little ,dear little ,dear little ,sharp little ,tiny little ,little tiny ,little tiny ,little big ,little tiny ,little tiny ,little tiny ,tiny little ,sharp little ,little tiny ,little tiny ,little tiny ,little tiny ,nice little ,little fluffy ,tiny little ,tiny little ,poor little ,poor little ,little tiny ,big little ,just little ,green little ,little tiny ,little tiny ,poor little ,naughty little ,naughty little ,little red ,big little ,little big ,big little ,good little ,little red ,little blue ,little dutch ,little tiny ,little tiny ,little yellow ,cute little ,little green ,little green ,little green ,little tiny ,little yellow ,little tiny ,little white ,poor little ,little big ,open little ,clever little ,clever little ,clever little ,clever little ,clever little ,little white ,little nice ,little big ,tiny little ,little big ,little tiny ,little blue ,nice little ,poor little ,little old ,nice little ,naughty little ,naughty little ,"
just,2,value,0.60125,lexical,0.39488955189452346,0.027777777777777776,0.75635445373866383,0.36146490184414037,"[0.16666666666666666, 0.86968641114982581, 0.60121951219512193]",2,"good just ,okay just ,","just little ,just little ,"
wee,34,dimension,0.762857143,sub,-0.12535972498177383,0.016663490149148256,0.015998565882299573,0.14135829086407339,"[0.5571428571428572, 0.55391120507399583, 0.75616631430584924]",2,"gorgeous wee ,bright wee ,awful wee ,wee high ,good wee ,wee quick ,awful wee ,wee hungry ,poor wee ,wee tiny ,good wee ,poor wee ,wee tiny ,awful wee ,good wee ,awful wee ,wee tiny ,wee old ,wee old ,wee old ,wee tiny ,wee red ,good wee ,awful wee ,wee tiny ,wee old ,wee tiny ,awful wee ,wee tiny ,good wee ,wee red ,wee red ,wee red ,wee tiny ,","wee tiny ,wee tiny ,wee big ,wee short ,wee big ,wee tiny ,wee big ,"
purple,4,color,0.2405,input,0.026673640167364024,0.5,0.11366806136680614,0.086994421199442118,"[0.5, 0.11366806136680614, 0.086994421199442118]",2,"purple red ,purple pink ,red purple ,red purple ,","purple red ,"
haired,N/A,material,0.324615385,N/A,0.0,0.5,0.5,0.5,not in input,2,,"long haired ,"
top,N/A,location,0.135714286,N/A,0.0,0.5,0.5,0.5,not in input,2,,"top little ,"
hot,5,physical,0.403,input,-0.0087112784924100461,0.84027777777777768,0.47695235184688861,0.48566363033929866,"[0.08333333333333333, 0.30938262992675269, 0.30310429019881407]",2,"mean hot ,little hot ,little hot ,nice hot ,nice hot ,","nice hot ,big hot ,"
tiny,76,dimension,0.414444444,input,-0.024667480306686165,0.15879344670405188,8.6781690827536766e-07,0.02466834812359444,"[0.13636363636363635, 0.55472103004291851, 0.3032904148783977]",2,"wee tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,wee tiny ,tiny little ,wee tiny ,little tiny ,tiny little ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,tiny little ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,","wee tiny ,wee tiny ,wee tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,big tiny ,big tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,"
teeny,7,dimension,0.531818182,input,-0.074869109947643953,0.9375,0.44659685863874343,0.52146596858638739,"[0.0625, 0.55340314136125657, 0.47853403141361256]",2,"little teeny ,little teeny ,little teeny ,little teeny ,little teeny ,little teeny ,little teeny ,","little teeny ,"
live,N/A,human,0.174615385,N/A,0.0,0.5,0.5,0.5,not in input,2,,"live long ,"
black,39,color,0.269,input,-0.0044122837980938856,0.98750000000000004,0.89110483586304268,0.89551711966113656,"[0.0125, 0.1088951641369573, 0.1044828803388634]",2,"big black ,big black ,big black ,big black ,little black ,good black ,big black ,big black ,big black ,big black ,little black ,little black ,little black ,little black ,pretty black ,little black ,big black ,big black ,big black ,big black ,big black ,smart black ,big black ,big black ,big black ,smart black ,big black ,big black ,big black ,big black ,big black ,big black ,big black ,smart black ,big black ,big black ,big black ,big black ,little black ,","little black ,"
pretty,76,value,0.863333333,lexical,0.0052556513543340544,0.00075174861827743294,0.0061596999069868114,0.00090404855265275739,"[0.9415584415584416, 0.87947067238912735, 0.9377682403433476]",2,"pretty quick ,pretty good ,pretty good ,pretty good ,pretty good ,pretty big ,pretty nice ,pretty nice ,pretty big ,pretty good ,pretty small ,pretty good ,pretty little ,pretty new ,pretty good ,pretty good ,pretty little ,pretty blue ,pretty little ,pretty big ,pretty wild ,pretty silly ,pretty wild ,pretty neat ,pretty silly ,pretty good ,pretty good ,pretty hard ,pretty hard ,pretty good ,pretty good ,pretty neat ,pretty long ,pretty good ,nice pretty ,nice pretty ,pretty hard ,pretty good ,pretty wild ,pretty big ,pretty big ,pretty hard ,pretty little ,pretty heavy ,pretty huge ,pretty little ,pretty little ,pretty little ,pretty good ,pretty little ,pretty good ,pretty good ,pretty good ,pretty little ,pretty good ,pretty good ,pretty good ,pretty little ,pretty blue ,pretty big ,pretty fun ,pretty fun ,pretty new ,pretty black ,pretty big ,pretty blue ,pretty big ,pretty big ,pretty big ,pretty long ,pretty big ,gentle pretty ,pretty short ,pretty long ,pretty loud ,gentle pretty ,","pretty big ,new pretty ,big pretty ,big pretty ,"
dutch,1,nationality,0.383333333,lexical,0.28004179728317657,0.75,0.99843260188087779,0.71839080459770122,"[0.25, 0.001567398119122257, 0.28160919540229884]",2,"little dutch ,","little dutch ,"
orange,12,color,0.301538462,sub,-0.029817446767428091,0.13676867056475617,0.31472162413975457,0.34453907090718267,"[0.038461538461538464, 0.11258741258741259, 0.13146853146853146]",2,"brown orange ,big orange ,big orange ,big orange ,big orange ,big orange ,big orange ,big orange ,big orange ,big orange ,big orange ,big orange ,","little orange ,nice orange ,orange green ,nice orange ,"
new,47,age,0.265,sub,-0.040022946354643402,0.00047640546091923437,0.21062366514892825,0.25064661150357165,"[0.6354166666666666, 0.24654867256637167, 0.1031858407079646]",2,"smart new ,smart new ,smart new ,nice new ,nice new ,nice new ,nice new ,new short ,new big ,pretty new ,new red ,clean new ,nice new ,nice new ,nice new ,happy new ,new sleepy ,happy new ,new sleepy ,new sleepy ,new little ,new little ,new little ,new little ,new little ,new little ,new little ,new little ,pretty new ,new little ,new little ,new young ,new young ,new clean ,new clean ,new young ,new young ,new young ,nice new ,fancy new ,new clean ,new clean ,new clean ,new young ,new clean ,new clean ,new young ,","nice new ,nice new ,nice new ,new pink ,new pretty ,happy new ,happy new ,happy new ,happy new ,happy new ,happy new ,happy new ,happy new ,"
white,27,color,0.281428571,lexical,0.045398177833103848,0.092512503477080371,0.20987113264303095,0.1644729548099271,"[0.16071428571428573, 0.11054481546572935, 0.1281195079086116]",2,"nice white ,little white ,little white ,little white ,little white ,white little ,big white ,little white ,white little ,little white ,white fluffy ,big white ,big white ,nice white ,nice white ,little white ,white fluffy ,big white ,big white ,big white ,little white ,little white ,little white ,big white ,big white ,little white ,big white ,","big white ,big white ,big white ,big white ,big white ,big white ,white open ,little white ,big white ,big white ,big white ,big white ,big white ,big white ,big white ,white big ,big white ,big white ,big white ,big white ,big white ,big white ,big white ,big white ,big white ,big white ,big white ,little white ,big white ,"
red,122,color,0.174166667,lexical,0.12894809997501505,0.016320574219309682,0.13714809179273757,0.0081999918177225149,"[0.044715447154471545, 0.097090909090909089, 0.037090909090909091]",2,"big red ,wee red ,wee red ,wee red ,wee red ,big red ,little red ,little red ,little red ,purple red ,little red ,new red ,bright red ,big red ,red blue ,red blue ,red blue ,big red ,little red ,little red ,little red ,big red ,big red ,big red ,big red ,little red ,little red ,big red ,big red ,big red ,big red ,little red ,big red ,little red ,little red ,little red ,big red ,big red ,big red ,big red ,big red ,big red ,big red ,little red ,little red ,little red ,blue red ,nice red ,bright red ,little red ,little red ,nice red ,little red ,little red ,blue red ,blue red ,nice red ,little red ,little red ,nice red ,blue red ,blue red ,little red ,little red ,small red ,blue red ,small red ,little red ,big red ,little red ,little red ,nice red ,red purple ,little red ,little red ,small red ,nice red ,little red ,small red ,small red ,little red ,little red ,little red ,nice red ,nice red ,nice red ,little red ,little red ,small red ,little red ,little red ,nice red ,big red ,nice red ,little red ,little red ,big red ,blue red ,little red ,nice red ,blue red ,little red ,nice red ,little red ,little red ,small red ,nice red ,nice red ,red purple ,small red ,blue red ,big red ,big red ,nice red ,nice red ,little red ,little red ,little red ,little red ,nice red ,little red ,bright red ,","red blue ,red blue ,purple red ,red ripe ,red ripe ,little red ,little red ,big red ,big red ,light red ,pink red ,big red ,pink red ,big red ,big red ,big red ,big red ,light red ,big red ,big red ,big red ,pink red ,big red ,light red ,light red ,big red ,red yellow ,big red ,big red ,big red ,big red ,big red ,big red ,big red ,big red ,big red ,"
happy,3,human,0.43,input,-0.00056745636822069822,0.38656003028154373,3.3977911711336306e-05,0.00060143427993203456,"[0.875, 0.21645172533983967, 0.31526664342976646]",2,"happy little ,happy new ,happy new ,","light happy ,happy new ,happy new ,happy new ,happy new ,happy new ,happy new ,happy new ,happy new ,"
poor,40,value,0.53,sub,-0.12900548746013774,2.979894696759641e-25,9.7821396922080209e-09,0.12900549724227742,"[0.9878048780487805, 0.87464689265536721, 0.47828389830508472]",2,"poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor wee ,poor wee ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor old ,poor old ,poor old ,poor old ,poor old ,poor little ,poor old ,poor little ,poor polar ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,","poor little ,poor little ,poor little ,poor little ,poor old ,poor old ,poor little ,poor little ,poor old ,poor little ,poor old ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,poor little ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,dear poor ,poor little ,"
pink,6,color,0.1075,lexical,9.9718046725981126e-05,1.0359204073132792e-05,9.9750620054161999e-05,3.2573328180872294e-08,"[0.07142857142857142, 0.11339846475924634, 0.022330774598743892]",2,"fun pink ,purple pink ,little pink ,fluffy pink ,little pink ,fluffy pink ,","new pink ,pink blue ,pink blue ,pink red ,pink red ,pink red ,"
clever,5,human,0.640909091,input,-0.12618304548637244,0.64722784850823034,0.00047295517603281875,0.12665600066240526,"[0.9166666666666666, 0.21625392396232995, 0.66149284966864319]",2,"clever little ,clever little ,clever little ,clever little ,clever little ,","clever little ,clever little ,clever little ,clever little ,clever little ,"
posh,N/A,value,0.654666667,N/A,0.0,0.125,0.125,0.125,not in input,2,,"nice posh ,nice posh ,nice posh ,"
